timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
14,0,0,0,0,0,186.73,HBEFA3/PC_G_EU4,0,0,veh3,:6796076850_6_0,49.94,3.56,!veh3!var#1,5.62,veh_passenger,0,26211.43,26494.38
14,0,0,0,0,0,359.92,HBEFA3/PC_G_EU4,0,0,veh4,-737358444#0_0,68.2,50.58,!veh4!var#1,19.96,veh_passenger,0,27949.72,24438.12
15,0,0,0,0,0,0.33,HBEFA3/PC_G_EU4,0,0,veh0,744926153#3_0,64.28,123.82,!veh0!var#1,13.64,veh_passenger,0,18275.83,24689.51
15,11.04,2437.91,0.1,0.8,0.02,269.57,HBEFA3/PC_G_EU4,0,1.05,veh1,-5340539#5_0,63.26,38.11,!veh1!var#1,11.74,veh_passenger,0,29204.37,24492.58
15,121.88,5618.88,0.69,2.43,0.11,270.96,HBEFA3/PC_G_EU4,0,2.42,veh2,:38014814_4_0,67.29,5.77,!veh2!var#1,7.11,veh_passenger,0,23598.44,25287.1
15,0,0,0,0,0,234.88,HBEFA3/PC_G_EU4,0,0,veh3,-724636540#1_0,54.83,0.44,!veh3!var#1,4.74,veh_passenger,0,26207.59,26491.85
15,43.34,5796.25,0.34,2.18,0.1,359.92,HBEFA3/PC_G_EU4,0,2.49,veh4,-737358444#0_0,69.77,71.02,!veh4!var#1,20.44,veh_passenger,0,27949.69,24458.56
16,48.99,5150.96,0.34,2.02,0.08,0.33,HBEFA3/PC_G_EU4,0,2.21,veh0,744926153#3_0,66.87,138.2,!veh0!var#1,14.38,veh_passenger,0,18275.92,24703.89
16,22.83,3120.9,0.17,1.12,0.03,269.57,HBEFA3/PC_G_EU4,0,1.34,veh1,-5340539#5_0,64.05,50.14,!veh1!var#1,12.03,veh_passenger,0,29192.34,24492.49
16,98.98,5282.24,0.57,2.23,0.1,270.96,HBEFA3/PC_G_EU4,0,2.27,veh2,:38014814_4_0,66.06,14.31,!veh2!var#1,8.54,veh_passenger,0,23589.9,25287.24
16,116.9,4996.07,0.65,2.15,0.1,254.72,HBEFA3/PC_G_EU4,0,2.15,veh3,-724636540#1_0,66.19,6.89,!veh3!var#1,6.46,veh_passenger,0,26201.36,26490.14
16,28.41,5077.99,0.25,1.83,0.08,359.72,HBEFA3/PC_G_EU4,0,2.18,veh4,-733279815#4_0,69.63,0.26,!veh4!var#1,20.77,veh_passenger,0,27949.61,24479.32
17,0,0,0,0,0,0.33,HBEFA3/PC_G_EU4,0,0,veh0,744926153#3_0,62.72,151.74,!veh0!var#1,13.54,veh_passenger,0,18275.99,24717.43
17,0,0,0,0,0,269.57,HBEFA3/PC_G_EU4,0,0,veh1,-5340539#5_0,59.94,61.02,!veh1!var#1,10.88,veh_passenger,0,29181.46,24492.41
17,165.45,9703.87,0.99,4.25,0.21,270.9,HBEFA3/PC_G_EU4,0,4.17,veh2,5337487#6_0,72.17,11.1,!veh2!var#1,11.14,veh_passenger,0,23578.76,25287.42
17,137.96,7271.44,0.8,3.16,0.15,254.72,HBEFA3/PC_G_EU4,0,3.13,veh3,-724636540#1_0,69.66,15.62,!veh3!var#1,8.73,veh_passenger,0,26192.94,26487.84
17,0,0,0,0,0,359.57,HBEFA3/PC_G_EU4,0,0,veh4,-733279815#4_0,67.88,20.48,!veh4!var#1,20.22,veh_passenger,0,27949.45,24499.54
18,37.96,4544.57,0.28,1.74,0.07,0.33,HBEFA3/PC_G_EU4,0,1.95,veh0,744926153#3_0,66.28,165.87,!veh0!var#1,14.13,veh_passenger,0,18276.08,24731.56
18,0,0,0,0,0,269.57,HBEFA3/PC_G_EU4,0,0,veh1,-5340539#5_0,53.09,68.2,!veh1!var#1,7.18,veh_passenger,0,29174.28,24492.36
18,142.36,9330.46,0.87,4.02,0.19,270.9,HBEFA3/PC_G_EU4,0,4.01,veh2,5337487#6_0,70.91,24.3,!veh2!var#1,13.19,veh_passenger,0,23565.57,25287.63
18,107.67,6575.22,0.65,2.79,0.13,271.26,HBEFA3/PC_G_EU4,0,2.83,veh3,-724636540#1_0,67.86,26,!veh3!var#1,10.38,veh_passenger,0,26182.7,26487
18,0,0,0,0,0,0.51,HBEFA3/PC_G_EU4,0,0,veh4,-733279815#4_0,68.39,40.58,!veh4!var#1,20.09,veh_passenger,0,27949.38,24519.64
19,16.77,3605.42,0.16,1.29,0.04,0.33,HBEFA3/PC_G_EU4,0,1.55,veh0,744926153#3_0,65.74,180.33,!veh0!var#1,14.45,veh_passenger,0,18276.16,24746.01
19,0,0,0,0,0,269.57,HBEFA3/PC_G_EU4,0,0,veh1,-5340539#5_0,45.49,71.64,!veh1!var#1,3.44,veh_passenger,0,29170.84,24492.33
19,84.88,6897.79,0.55,2.84,0.13,270.9,HBEFA3/PC_G_EU4,0,2.97,veh2,5337487#6_0,68.38,38.69,!veh2!var#1,14.4,veh_passenger,0,23551.17,25287.85
19,77.29,5568.87,0.48,2.29,0.1,271.26,HBEFA3/PC_G_EU4,0,2.39,veh3,-724636540#1_0,66.5,37.51,!veh3!var#1,11.51,veh_passenger,0,26171.19,26487.25
19,66.33,6919.88,0.47,2.7,0.13,0.87,HBEFA3/PC_G_EU4,0,2.97,veh4,-733279815#4_0,70.4,61.33,!veh4!var#1,20.76,veh_passenger,0,27949.7,24540.39
20,0,0,0,0,0,0.33,HBEFA3/PC_G_EU4,0,0,veh0,744926153#3_0,63.91,194.4,!veh0!var#1,14.08,veh_passenger,0,18276.24,24760.09
20,143.51,5962.03,0.8,2.62,0.13,258.14,HBEFA3/PC_G_EU4,0,2.56,veh1,:38015297_6_0,69.26,4.37,!veh1!var#1,5.92,veh_passenger,0,29165.07,24491.31
20,0,0,0,0,0,270.9,HBEFA3/PC_G_EU4,0,0,veh2,5337487#6_0,62.74,52.25,!veh2!var#1,13.56,veh_passenger,0,23537.62,25288.07
20,31.57,3509.64,0.22,1.31,0.04,271.27,HBEFA3/PC_G_EU4,0,1.51,veh3,-724636540#1_0,64.37,49.45,!veh3!var#1,11.93,veh_passenger,0,26159.26,26487.51
20,0,0,0,0,0,0.44,HBEFA3/PC_G_EU4,0,0,veh4,:38074463_7_0,68.24,5.98,!veh4!var#1,20.4,veh_passenger,0,27949.97,24560.8
21,0,0,0,0,0,0.33,HBEFA3/PC_G_EU4,0,0,veh0,744926153#3_0,63.93,208.21,!veh0!var#1,13.81,veh_passenger,0,18276.32,24773.89
21,77.38,3105.35,0.42,1.25,0.05,222.17,HBEFA3/PC_G_EU4,0,1.33,veh1,737358450#8_0,61.55,0.07,!veh1!var#1,6.5,veh_passenger,0,29160.43,24487.16
21,44.77,4905.74,0.32,1.91,0.08,270.9,HBEFA3/PC_G_EU4,0,2.11,veh2,5337487#6_0,66.62,66.49,!veh2!var#1,14.24,veh_passenger,0,23523.38,25288.29
21,14.8,2760.53,0.13,0.95,0.03,1.19,HBEFA3/PC_G_EU4,0,1.19,veh3,-724636540#1_0,63.77,61.55,!veh3!var#1,12.11,veh_passenger,0,26157.73,26497.92
21,28.66,5089.85,0.25,1.84,0.08,359.98,HBEFA3/PC_G_EU4,0,2.19,veh4,-733279815#3_0,69.62,12.33,!veh4!var#1,20.73,veh_passenger,0,27950.02,24581.53
